                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     23,                 1.6282,                 1.9441,                 1.6915,                 1.6267,                 2.1656,                 1.5675,                0.38124,                0.44567,                0.37064,                0.16128,                 1.8001,                 1.9567,                 1.7692,                 1.7632,                 2.1726,                 1.6496,              0.0013204,              0.0013204,              0.0013204
                     24,                 1.5959,                 1.9107,                 1.6713,                  1.594,                  2.135,                 1.5647,                0.47712,                0.42522,                0.39434,                0.17274,                 1.7998,                 1.9123,                 1.7455,                 1.7554,                 2.1022,                 1.6427,              0.0013039,              0.0013039,              0.0013039
                     25,                 1.6109,                 1.8988,                 1.6797,                 1.6189,                 2.0929,                 1.5685,                0.40307,                0.39826,                0.34029,                0.15534,                 1.7434,                 2.1263,                 1.7508,                 1.7361,                 2.3308,                 1.6515,              0.0012874,              0.0012874,              0.0012874
                     26,                 1.5876,                  1.887,                 1.6646,                 1.5754,                 2.1174,                 1.5547,                0.46969,                   0.44,                0.39656,                0.18013,                  1.749,                 2.0145,                 1.7045,                 1.7483,                 2.1482,                 1.6296,              0.0012709,              0.0012709,              0.0012709
                     27,                 1.6003,                 1.9161,                 1.6798,                 1.5572,                 2.1623,                 1.5674,                0.44689,                 0.4383,                0.39275,                0.17154,                 1.7622,                  1.989,                 1.7752,                 1.7298,                 2.1419,                 1.6375,              0.0012544,              0.0012544,              0.0012544
                     28,                 1.5872,                  1.921,                 1.6699,                 1.5772,                 2.1121,                 1.5586,                0.42544,                0.43389,                0.38974,                0.16857,                 1.8059,                 1.9208,                 1.7542,                 1.8026,                  2.067,                 1.6697,              0.0012379,              0.0012379,              0.0012379
                     29,                 1.6095,                 1.9059,                 1.6619,                 1.5926,                 2.1187,                 1.5533,                0.39146,                0.42674,                0.35628,                0.16838,                 1.7112,                 2.0066,                 1.6895,                 1.6747,                 2.1216,                 1.5787,              0.0012214,              0.0012214,              0.0012214
                     30,                 1.5582,                 1.8893,                 1.6347,                 1.5775,                 2.0817,                 1.5525,                 0.4941,                0.43876,                0.42573,                0.19004,                 1.7251,                 1.8433,                 1.6997,                 1.7621,                  1.982,                 1.6282,              0.0012049,              0.0012049,              0.0012049
                     31,                  1.555,                  1.812,                 1.6197,                 1.5812,                 2.0055,                 1.5427,                0.45858,                0.44037,                0.39368,                0.17644,                 1.7567,                 1.9384,                 1.7056,                 1.7223,                 2.1464,                 1.6358,              0.0011884,              0.0011884,              0.0011884
                     32,                 1.5723,                 1.8509,                 1.6458,                 1.5671,                 2.0429,                 1.5455,                0.40614,                0.46509,                0.36066,                0.15891,                 1.7631,                 2.0525,                 1.7093,                 1.7358,                 2.2515,                 1.6264,              0.0011719,              0.0011719,              0.0011719
                     33,                 1.5829,                 1.8692,                 1.6529,                 1.6014,                 2.0648,                  1.564,                0.46391,                0.45772,                0.43485,                0.19252,                 1.7222,                 1.8436,                 1.6956,                 1.6899,                 1.9859,                 1.6014,              0.0011554,              0.0011554,              0.0011554
                     34,                 1.5299,                    1.8,                 1.6177,                 1.5378,                 1.9935,                 1.5362,                0.40603,                0.44768,                0.36203,                0.16576,                 1.7466,                 1.9837,                 1.7016,                 1.6938,                 2.1418,                 1.6083,              0.0011389,              0.0011389,              0.0011389
                     35,                 1.5149,                 1.7663,                 1.6084,                 1.5337,                 1.9598,                 1.5371,                0.38117,                0.43786,                0.35118,                0.15711,                 1.8062,                 1.9732,                 1.7394,                  1.756,                 2.1709,                 1.6305,              0.0011224,              0.0011224,              0.0011224
                     36,                 1.5429,                 1.7935,                 1.6142,                 1.5677,                 1.9631,                 1.5341,                0.47054,                0.45256,                0.42026,                0.19332,                 1.7334,                 1.8154,                 1.7021,                  1.699,                 1.9466,                  1.627,              0.0011059,              0.0011059,              0.0011059
                     37,                 1.5374,                 1.7752,                 1.6182,                 1.5548,                 1.9557,                  1.544,                0.38945,                0.46743,                0.37097,                0.15831,                 1.7629,                 1.9025,                 1.7134,                 1.7166,                 2.0476,                 1.6229,              0.0010894,              0.0010894,              0.0010894
                     38,                 1.5268,                 1.7696,                 1.6127,                 1.5633,                 1.9442,                 1.5245,                0.46332,                0.49939,                0.43755,                0.20413,                 1.7088,                 1.7747,                 1.6971,                 1.7037,                 1.9104,                 1.6265,              0.0010729,              0.0010729,              0.0010729
                     39,                 1.5149,                 1.7695,                 1.6017,                 1.5275,                 1.9544,                 1.5297,                0.46714,                0.46807,                0.42217,                0.17826,                 1.7442,                  1.934,                 1.7171,                  1.691,                 2.0997,                 1.6076,              0.0010564,              0.0010564,              0.0010564
                     40,                 1.5103,                 1.7413,                 1.6183,                 1.5264,                 1.9167,                 1.5521,                0.45284,                0.44462,                0.40491,                 0.1859,                 1.7168,                 1.9014,                 1.6799,                  1.688,                 2.0412,                 1.5993,              0.0010399,              0.0010399,              0.0010399
                     41,                 1.5366,                 1.7022,                 1.6077,                 1.5425,                 1.8928,                 1.5374,                 0.4212,                0.52334,                0.41304,                0.19124,                 1.7452,                 1.8425,                 1.6896,                 1.7033,                 2.0046,                 1.6107,              0.0010234,              0.0010234,              0.0010234
                     42,                 1.4988,                  1.743,                 1.5865,                 1.5026,                 1.9128,                 1.5167,                0.44787,                0.49472,                0.43604,                0.19712,                 1.6929,                 1.7558,                 1.6639,                 1.6615,                 1.9168,                 1.5801,              0.0010069,              0.0010069,              0.0010069
                     43,                 1.4952,                 1.6991,                 1.5817,                 1.4999,                 1.8675,                  1.511,                0.47871,                0.50865,                0.43259,                0.20184,                  1.674,                 1.7799,                  1.657,                 1.6952,                 1.8887,                  1.588,             0.00099036,             0.00099036,             0.00099036
                     44,                  1.514,                 1.6777,                 1.6056,                 1.5253,                 1.8433,                 1.5315,                 0.4449,                0.49558,                0.44277,                0.20858,                 1.6712,                 1.7827,                 1.6646,                  1.651,                 1.9369,                 1.5802,             0.00097386,             0.00097386,             0.00097386
                     45,                 1.4803,                 1.7207,                 1.5736,                  1.486,                  1.894,                  1.493,                0.41265,                0.45542,                0.38202,                0.17761,                 1.7389,                 1.9468,                 1.7057,                 1.7056,                 2.0731,                 1.6258,             0.00095736,             0.00095736,             0.00095736
                     46,                 1.4978,                 1.6502,                 1.5937,                 1.4896,                 1.8332,                 1.5175,                0.48765,                0.46334,                0.45204,                0.20879,                 1.6967,                 1.7206,                 1.6599,                 1.7024,                 1.8601,                 1.6056,             0.00094085,             0.00094085,             0.00094085
                     47,                 1.5014,                  1.683,                 1.5944,                 1.5291,                 1.8324,                 1.5349,                0.49883,                0.47876,                0.46068,                0.20719,                 1.6705,                 1.8048,                 1.6643,                 1.6709,                 1.9733,                 1.6157,             0.00092435,             0.00092435,             0.00092435
                     48,                 1.4947,                 1.7106,                 1.5791,                 1.5393,                 1.8522,                 1.5165,                0.45898,                0.50724,                0.47172,                0.22474,                 1.6636,                 1.7268,                 1.6465,                 1.6349,                 1.8731,                 1.5735,             0.00090785,             0.00090785,             0.00090785
                     49,                 1.4463,                 1.6727,                 1.5621,                 1.4568,                 1.8341,                 1.4915,                0.42819,                0.49113,                0.44432,                0.21004,                 1.6859,                  1.768,                 1.6689,                 1.6528,                 1.9168,                 1.5708,             0.00089134,             0.00089134,             0.00089134
                     50,                 1.4578,                 1.6646,                 1.5692,                 1.4753,                 1.8265,                  1.501,                0.49613,                0.50031,                0.46484,                0.21964,                 1.6698,                 1.7153,                 1.6554,                 1.6809,                 1.8747,                 1.5856,             0.00087484,             0.00087484,             0.00087484
                     51,                 1.4307,                 1.6186,                 1.5456,                  1.457,                 1.7747,                 1.4763,                0.49646,                 0.5052,                0.45266,                0.21313,                 1.6953,                 1.7539,                 1.6778,                 1.6867,                 1.8937,                 1.6068,             0.00085834,             0.00085834,             0.00085834
                     52,                 1.4314,                 1.6229,                 1.5396,                 1.4483,                  1.794,                 1.4639,                0.48686,                0.50567,                0.47582,                  0.224,                 1.7013,                 1.6813,                 1.6724,                  1.669,                 1.8263,                 1.5987,             0.00084184,             0.00084184,             0.00084184
                     53,                 1.4758,                 1.6525,                 1.5701,                 1.4716,                 1.8217,                  1.483,                0.44308,                0.46312,                0.40054,                0.18653,                 1.7279,                 1.8208,                 1.7057,                 1.6753,                 2.0286,                 1.5857,             0.00082533,             0.00082533,             0.00082533
                     54,                 1.4485,                 1.6461,                 1.5692,                 1.4532,                 1.8208,                 1.4929,                0.48668,                 0.4564,                0.44089,                0.21094,                 1.7011,                 1.7532,                 1.6854,                 1.6457,                 1.9152,                 1.5883,             0.00080883,             0.00080883,             0.00080883
                     55,                 1.4447,                 1.6196,                 1.5516,                 1.4711,                 1.7658,                 1.4854,                0.44081,                0.45917,                0.42597,                0.19303,                 1.7206,                 1.7379,                 1.7017,                  1.666,                 1.9161,                 1.6094,             0.00079233,             0.00079233,             0.00079233
                     56,                 1.4478,                 1.5989,                 1.5524,                 1.4522,                 1.7687,                  1.472,                0.52344,                 0.4742,                0.46266,                0.21366,                 1.7089,                 1.7664,                 1.7035,                 1.7023,                 1.9164,                 1.6249,             0.00077582,             0.00077582,             0.00077582
                     57,                 1.4546,                 1.6207,                 1.5583,                  1.461,                 1.7778,                 1.4876,                0.48593,                0.48018,                0.45144,                0.20913,                 1.6943,                 1.7778,                  1.671,                 1.6725,                 1.9372,                 1.5823,             0.00075932,             0.00075932,             0.00075932
                     58,                  1.386,                 1.8685,                  1.514,                 1.3792,                 1.7646,                 1.4367,                0.55839,                0.45336,                0.48318,                0.21425,                 1.7028,                 1.7132,                 1.6745,                 1.7213,                   1.88,                 1.6161,             0.00074282,             0.00074282,             0.00074282
                     59,                 1.4148,                  1.563,                 1.5281,                 1.4344,                 1.7074,                 1.4663,                0.53782,                0.43426,                0.47936,                0.21976,                  1.746,                 1.7159,                 1.6932,                 1.7429,                 1.8706,                 1.6289,             0.00072631,             0.00072631,             0.00072631
                     60,                  1.378,                 1.5532,                 1.5078,                 1.3992,                 1.7324,                 1.4494,                0.51048,                  0.467,                0.47065,                0.21853,                 1.7208,                 1.6722,                 1.6926,                 1.7165,                 1.8175,                 1.6297,             0.00070981,             0.00070981,             0.00070981
                     61,                 1.4023,                   1.55,                 1.5305,                 1.4005,                 1.7307,                 1.4598,                0.50011,                0.49334,                0.49397,                0.22983,                 1.7161,                  1.677,                 1.6738,                 1.6918,                 1.8294,                 1.6086,             0.00069331,             0.00069331,             0.00069331
                     62,                 1.4142,                 1.4948,                 1.5339,                 1.4197,                 1.6478,                 1.4633,                0.49326,                0.49814,                0.47195,                0.22419,                  1.696,                 1.7153,                 1.6744,                 1.7012,                 1.8742,                  1.606,              0.0006768,              0.0006768,              0.0006768
                     63,                  1.381,                 1.5354,                 1.4997,                 1.3913,                 1.6863,                 1.4421,                0.49184,                0.46411,                0.43775,                 0.2057,                 1.7109,                 1.8027,                 1.6872,                 1.6883,                 1.9281,                 1.6094,              0.0006603,              0.0006603,              0.0006603
                     64,                 1.3586,                 1.5369,                 1.5017,                 1.4005,                 1.6636,                 1.4557,                0.50606,                0.49347,                0.48457,                0.23304,                 1.6829,                 1.6547,                 1.6666,                 1.6654,                 1.7991,                 1.6053,              0.0006438,              0.0006438,              0.0006438
                     65,                 1.4071,                 1.5889,                  1.545,                 1.4493,                 1.7352,                 1.5071,                0.49728,                0.43509,                0.43365,                0.19603,                 1.7285,                 1.7563,                 1.7073,                 1.7067,                 1.8972,                 1.6404,             0.00062729,             0.00062729,             0.00062729
                     66,                  1.403,                 1.5314,                 1.5145,                 1.4216,                 1.6865,                 1.4602,                0.51932,                0.43791,                0.45558,                0.21065,                 1.7426,                 1.7123,                 1.7153,                 1.6962,                 1.8937,                 1.6308,             0.00061079,             0.00061079,             0.00061079
                     67,                  1.351,                 1.4675,                 1.4805,                 1.3788,                 1.6187,                 1.4325,                0.49471,                0.46747,                0.44492,                0.20614,                 1.7096,                 1.7036,                 1.6909,                 1.6777,                 1.8672,                 1.6101,             0.00059429,             0.00059429,             0.00059429
                     68,                 1.3405,                 1.8174,                 1.4723,                 1.3658,                  1.631,                 1.4288,                0.48156,                0.52179,                0.46453,                0.21208,                 1.7021,                 1.6983,                 1.6949,                 1.6916,                 1.8414,                 1.6234,             0.00057778,             0.00057778,             0.00057778
                     69,                 1.3698,                 1.4617,                 1.4925,                  1.397,                 1.6165,                 1.4405,                0.49568,                0.51031,                 0.4831,                0.23268,                 1.6711,                 1.6452,                 1.6608,                 1.6416,                 1.8333,                  1.591,             0.00056128,             0.00056128,             0.00056128
                     70,                 1.3696,                 1.4272,                 1.4886,                 1.3915,                 1.5541,                 1.4473,                 0.4972,                0.50084,                0.46412,                0.21487,                 1.6882,                 1.6874,                 1.6636,                 1.6727,                  1.876,                 1.6056,             0.00054478,             0.00054478,             0.00054478
                     71,                 1.3543,                 1.4541,                 1.4852,                  1.383,                  1.592,                 1.4505,                0.51741,                0.47343,                  0.468,                0.22182,                 1.7091,                 1.7046,                 1.6868,                 1.6999,                 1.8872,                 1.6343,             0.00052827,             0.00052827,             0.00052827
                     72,                 1.3233,                 1.4326,                 1.4752,                 1.3629,                 1.6041,                 1.4351,                0.45848,                0.54153,                 0.4682,                0.21595,                 1.7226,                 1.7272,                 1.6906,                 1.7019,                 1.9101,                 1.6257,             0.00051177,             0.00051177,             0.00051177
                     73,                 1.3325,                 1.4571,                 1.4729,                 1.3672,                 1.5988,                   1.43,                0.50368,                 0.5246,                0.48934,                0.22778,                 1.7171,                 1.6299,                 1.6966,                  1.718,                 1.8196,                   1.62,             0.00049527,             0.00049527,             0.00049527
                     74,                 1.3518,                 1.4043,                 1.4727,                 1.3786,                  1.539,                 1.4233,                0.51071,                 0.5328,                0.48699,                0.22503,                 1.7059,                 1.6307,                  1.684,                 1.6952,                 1.8194,                 1.6192,             0.00047876,             0.00047876,             0.00047876
                     75,                 1.3179,                 1.4052,                 1.4622,                 1.3356,                 1.5402,                 1.4169,                0.47276,                0.51142,                0.45094,                0.20474,                 1.7484,                 1.7049,                 1.7334,                 1.7608,                 1.8666,                 1.7025,             0.00046226,             0.00046226,             0.00046226
                     76,                 1.3208,                  1.374,                 1.4522,                 1.3509,                  1.513,                 1.4113,                0.54382,                0.49556,                0.50875,                0.23938,                 1.7029,                 1.6073,                 1.6842,                 1.6947,                 1.7856,                 1.6154,             0.00044576,             0.00044576,             0.00044576
                     77,                  1.314,                 1.3861,                 1.4441,                 1.3574,                 1.5456,                 1.4059,                0.47764,                0.55979,                0.48406,                0.22357,                 1.7049,                  1.637,                 1.6923,                 1.7029,                 1.8127,                  1.642,             0.00042925,             0.00042925,             0.00042925
                     78,                 1.2998,                 1.3352,                 1.4408,                 1.3179,                 1.4704,                 1.4001,                0.50089,                0.51521,                0.48521,                0.21993,                 1.7257,                 1.6366,                 1.7009,                 1.7026,                 1.8294,                 1.6511,             0.00041275,             0.00041275,             0.00041275
                     79,                 1.2816,                 1.3228,                 1.4264,                 1.3302,                 1.4473,                 1.4008,                0.47331,                0.54663,                0.47885,                0.22072,                 1.7169,                 1.6485,                 1.6958,                  1.711,                 1.8167,                 1.6335,             0.00039625,             0.00039625,             0.00039625
                     80,                 1.2756,                 1.3062,                 1.4282,                 1.3126,                 1.4069,                 1.3915,                0.52621,                0.51772,                0.49743,                 0.2424,                 1.7123,                  1.583,                  1.698,                 1.6762,                 1.7699,                 1.6136,             0.00037974,             0.00037974,             0.00037974
                     81,                 1.2775,                 1.3038,                 1.4319,                 1.3071,                 1.4227,                 1.3981,                0.47928,                0.54991,                0.48364,                0.23543,                 1.7305,                 1.6458,                 1.6984,                 1.7316,                 1.8001,                 1.6396,             0.00036324,             0.00036324,             0.00036324
                     82,                 1.2828,                 1.3146,                 1.4241,                 1.3259,                 1.4496,                 1.3988,                0.49112,                0.53245,                0.49453,                0.23951,                 1.7406,                 1.6417,                 1.7139,                  1.759,                 1.7797,                 1.6668,             0.00034674,             0.00034674,             0.00034674
                     83,                 1.2845,                  1.309,                 1.4357,                 1.3186,                 1.4466,                 1.3971,                0.50813,                0.51079,                0.48631,                0.22899,                 1.7444,                 1.6529,                 1.7214,                 1.7276,                 1.8924,                 1.6528,             0.00033023,             0.00033023,             0.00033023
                     84,                 1.3169,                 1.3223,                 1.4729,                 1.3411,                 1.4511,                  1.431,                0.49939,                0.51689,                0.48955,                0.22885,                  1.749,                 1.6488,                 1.7174,                 1.7616,                 1.8065,                 1.6527,             0.00031373,             0.00031373,             0.00031373
                     85,                 1.2771,                  1.285,                 1.4232,                  1.309,                 1.4062,                 1.3943,                0.51246,                0.46968,                0.47778,                0.22759,                 1.7506,                   1.61,                 1.7134,                  1.742,                 1.8033,                 1.6599,             0.00029723,             0.00029723,             0.00029723
                     86,                 1.2567,                 1.2713,                 1.4133,                 1.2855,                 1.4158,                 1.3804,                0.47432,                0.55763,                0.49464,                 0.2404,                 1.7325,                 1.6097,                 1.7094,                 1.7152,                 1.7991,                 1.6407,             0.00028072,             0.00028072,             0.00028072
